"","home","away","homescore","awayscore","mtype"
"159","Latvia","Slovenia",0,5,"Qualifying Group Stage"
"160","Latvia","Israel",0,3,"Qualifying Group Stage"
"161","France","Turkey",1,1,"Qualifying Group Stage"
"162","France","Iceland",4,0,"Qualifying Group Stage"
"163","France","Albania",4,1,"Qualifying Group Stage"
"164","France","Andorra",3,0,"Qualifying Group Stage"
"165","France","Moldova",2,1,"Qualifying Group Stage"
"166","Turkey","France",2,0,"Qualifying Group Stage"
"167","Turkey","Iceland",0,0,"Qualifying Group Stage"
"168","Turkey","Albania",1,0,"Qualifying Group Stage"
"169","Turkey","Andorra",1,0,"Qualifying Group Stage"
"170","Turkey","Moldova",4,0,"Qualifying Group Stage"
"171","Iceland","France",0,1,"Qualifying Group Stage"
"172","Iceland","Turkey",2,1,"Qualifying Group Stage"
"173","Iceland","Albania",1,0,"Qualifying Group Stage"
"174","Iceland","Andorra",2,0,"Qualifying Group Stage"
"175","Iceland","Moldova",3,0,"Qualifying Group Stage"
"176","Albania","France",0,2,"Qualifying Group Stage"
"177","Albania","Turkey",0,2,"Qualifying Group Stage"
"178","Albania","Iceland",4,2,"Qualifying Group Stage"
"179","Albania","Andorra",2,2,"Qualifying Group Stage"
"180","Albania","Moldova",2,0,"Qualifying Group Stage"
"181","Andorra","France",0,4,"Qualifying Group Stage"
"182","Andorra","Turkey",0,2,"Qualifying Group Stage"
"183","Andorra","Iceland",0,2,"Qualifying Group Stage"
"184","Andorra","Albania",0,3,"Qualifying Group Stage"
"185","Andorra","Moldova",1,0,"Qualifying Group Stage"
"186","Moldova","France",1,4,"Qualifying Group Stage"
"187","Moldova","Turkey",0,4,"Qualifying Group Stage"
"188","Moldova","Iceland",1,2,"Qualifying Group Stage"
"189","Moldova","Albania",0,4,"Qualifying Group Stage"
"190","Moldova","Andorra",1,0,"Qualifying Group Stage"
"191","Belgium","Russia",3,1,"Qualifying Group Stage"
"192","Belgium","Scotland",3,0,"Qualifying Group Stage"
"193","Belgium","Cyprus",6,1,"Qualifying Group Stage"
"194","Belgium","Kazakhstan",3,0,"Qualifying Group Stage"
"195","Belgium","San Marino",9,0,"Qualifying Group Stage"
"196","Russia","Belgium",1,4,"Qualifying Group Stage"
"197","Russia","Scotland",4,0,"Qualifying Group Stage"
"198","Russia","Cyprus",1,0,"Qualifying Group Stage"
